>1, 2/10, d=0.686, g=0.746
>1, 3/10, d=0.675, g=0.769
>1, 4/10, d=0.666, g=0.798
>1, 5/10, d=0.658, g=0.840
>1, 6/10, d=0.632, g=0.870
>1, 7/10, d=0.611, g=0.925
>1, 8/10, d=0.575, g=0.976
>1, 9/10, d=0.543, g=1.027
>1, 10/10, d=0.524, g=1.055
>2, 1/10, d=0.513, g=1.043
>2, 2/10, d=0.448, g=0.950
>2, 3/10, d=0.400, g=0.897
>2, 4/10, d=0.375, g=0.735
>2, 5/10, d=0.322, g=0.594
>2, 6/10, d=0.229, g=0.357
>2, 7/10, d=0.176, g=0.279
>2, 8/10, d=0.175, g=0.133
>2, 9/10, d=0.117, g=0.059
>2, 10/10, d=0.088, g=0.069
>3, 1/10, d=0.051, g=0.057
>3, 2/10, d=0.055, g=0.036
>3, 3/10, d=0.032, g=0.040
>3, 4/10, d=0.049, g=0.010
>3, 5/10, d=0.052, g=0.036
>3, 6/10, d=0.038, g=0.009
>3, 7/10, d=0.025, g=0.015
>3, 8/10, d=0.018, g=0.057
>3, 9/10, d=0.137, g=0.004
>3, 10/10, d=0.086, g=0.373
>4, 1/10, d=0.063, g=0.284
>4, 2/10, d=0.295, g=0.001
>4, 3/10, d=0.375, g=0.284
>4, 4/10, d=0.031, g=0.646
>4, 5/10, d=0.088, g=0.654
>4, 6/10, d=0.081, g=0.115
>4, 7/10, d=0.105, g=0.021
>4, 8/10, d=0.018, g=0.006
>4, 9/10, d=0.024, g=0.005
>4, 10/10, d=0.031, g=0.007
>5, 1/10, d=0.025, g=0.017
>5, 2/10, d=0.015, g=0.035
>5, 3/10, d=0.012, g=0.034
>5, 4/10, d=0.024, g=0.040
>5, 5/10, d=0.019, g=0.041
>5, 6/10, d=0.025, g=0.030
>5, 7/10, d=0.012, g=0.034
>5, 8/10, d=0.020, g=0.026
>5, 9/10, d=0.027, g=0.025
>5, 10/10, d=0.018, g=0.013
>6, 1/10, d=0.049, g=0.005
>6, 2/10, d=0.026, g=0.004
>6, 3/10, d=0.030, g=0.018
>6, 4/10, d=0.021, g=0.025
>6, 5/10, d=0.094, g=0.009
>6, 6/10, d=0.027, g=0.016
>6, 7/10, d=0.023, g=0.031
>6, 8/10, d=0.026, g=0.040
>6, 9/10, d=0.246, g=0.001
>6, 10/10, d=0.139, g=0.006
>7, 1/10, d=0.044, g=0.018
>7, 2/10, d=0.043, g=0.062
>7, 3/10, d=0.021, g=0.154
>7, 4/10, d=0.018, g=0.127
>7, 5/10, d=0.029, g=0.059
>7, 6/10, d=0.012, g=0.027
>7, 7/10, d=0.017, g=0.028
>7, 8/10, d=0.016, g=0.027
>7, 9/10, d=0.017, g=0.080
>7, 10/10, d=0.021, g=0.049
>8, 1/10, d=0.019, g=0.033
>8, 2/10, d=0.015, g=0.046
>8, 3/10, d=0.021, g=0.062
>8, 4/10, d=0.017, g=0.186
>8, 5/10, d=0.014, g=0.098
>8, 6/10, d=0.018, g=0.017
>8, 7/10, d=0.015, g=0.014
>8, 8/10, d=0.012, g=0.027
>8, 9/10, d=0.019, g=0.033
>8, 10/10, d=0.020, g=0.052
>9, 1/10, d=0.019, g=0.099
>9, 2/10, d=0.021, g=0.027
>9, 3/10, d=0.015, g=0.092
>9, 4/10, d=0.011, g=0.085
>9, 5/10, d=0.031, g=0.014
>9, 6/10, d=0.006, g=0.004
>9, 7/10, d=0.017, g=0.003
>9, 8/10, d=0.016, g=0.005
>9, 9/10, d=0.034, g=0.002
>9, 10/10, d=0.022, g=0.005
>10, 1/10, d=0.018, g=0.009
>10, 2/10, d=0.014, g=0.027
>10, 3/10, d=0.009, g=0.061
>10, 4/10, d=0.008, g=0.023
>10, 5/10, d=0.012, g=0.046
>10, 6/10, d=0.007, g=0.020
>10, 7/10, d=0.009, g=0.062
>10, 8/10, d=0.045, g=0.001
>10, 9/10, d=0.028, g=0.000
>10, 10/10, d=0.033, g=0.001
>11, 1/10, d=0.029, g=0.011
>11, 2/10, d=0.014, g=0.007
>11, 3/10, d=0.008, g=0.030
>11, 4/10, d=0.006, g=0.077
>11, 5/10, d=0.009, g=0.145
>11, 6/10, d=0.006, g=0.048
>11, 7/10, d=0.013, g=0.059
>11, 8/10, d=0.011, g=0.056
>11, 9/10, d=0.008, g=0.033
>11, 10/10, d=0.025, g=0.006
>12, 1/10, d=0.017, g=0.009
>12, 2/10, d=0.018, g=0.006
>12, 3/10, d=0.019, g=0.013
>12, 4/10, d=0.019, g=0.013
>12, 5/10, d=0.017, g=0.041
>12, 6/10, d=0.019, g=0.120
>12, 7/10, d=0.008, g=0.054
>12, 8/10, d=0.020, g=0.011
>12, 9/10, d=0.012, g=0.002
>12, 10/10, d=0.013, g=0.003
>13, 1/10, d=0.012, g=0.001
>13, 2/10, d=0.017, g=0.002
>13, 3/10, d=0.016, g=0.002
>13, 4/10, d=0.010, g=0.006
>13, 5/10, d=0.012, g=0.032
>13, 6/10, d=0.010, g=0.011
>13, 7/10, d=0.013, g=0.012
>13, 8/10, d=0.015, g=0.008
>13, 9/10, d=0.015, g=0.018
>13, 10/10, d=0.030, g=0.001
>14, 1/10, d=0.024, g=0.000
>14, 2/10, d=0.023, g=0.002
>14, 3/10, d=0.016, g=0.002
>14, 4/10, d=0.015, g=0.011
>14, 5/10, d=0.013, g=0.018
>14, 6/10, d=0.012, g=0.008
>14, 7/10, d=0.012, g=0.060
>14, 8/10, d=0.016, g=0.012
>14, 9/10, d=0.008, g=0.004
>14, 10/10, d=0.008, g=0.004
>15, 1/10, d=0.008, g=0.001
>15, 2/10, d=0.008, g=0.006
>15, 3/10, d=0.006, g=0.002
>15, 4/10, d=0.006, g=0.013
>15, 5/10, d=0.005, g=0.012
>15, 6/10, d=0.009, g=0.009
>15, 7/10, d=0.008, g=0.004
>15, 8/10, d=0.011, g=0.001
>15, 9/10, d=0.006, g=0.000
>15, 10/10, d=0.012, g=0.000
>16, 1/10, d=0.011, g=0.001
>16, 2/10, d=0.009, g=0.000
>16, 3/10, d=0.007, g=0.000
>16, 4/10, d=0.007, g=0.000
>16, 5/10, d=0.004, g=0.001
>16, 6/10, d=0.005, g=0.001
>16, 7/10, d=0.004, g=0.001
>16, 8/10, d=0.004, g=0.001
>16, 9/10, d=0.003, g=0.006
>16, 10/10, d=0.003, g=0.001
>17, 1/10, d=0.003, g=0.009
>17, 2/10, d=0.003, g=0.004
>17, 3/10, d=0.004, g=0.000
>17, 4/10, d=0.003, g=0.004
>17, 5/10, d=0.004, g=0.011
>17, 6/10, d=0.004, g=0.004
>17, 7/10, d=0.003, g=0.001
>17, 8/10, d=0.003, g=0.002
>17, 9/10, d=0.002, g=0.002
>17, 10/10, d=0.002, g=0.002
>18, 1/10, d=0.023, g=0.000
>18, 2/10, d=0.013, g=0.000
>18, 3/10, d=0.028, g=0.000
>18, 4/10, d=0.021, g=0.000
>18, 5/10, d=0.014, g=0.000
>18, 6/10, d=0.008, g=0.000
>18, 7/10, d=0.006, g=0.000
>18, 8/10, d=0.006, g=0.000
>18, 9/10, d=0.005, g=0.000
>18, 10/10, d=0.004, g=0.000
>19, 1/10, d=0.003, g=0.000
>19, 2/10, d=0.002, g=0.000
>19, 3/10, d=0.003, g=0.000
>19, 4/10, d=0.002, g=0.000
>19, 5/10, d=0.003, g=0.000
>19, 6/10, d=0.002, g=0.000
>19, 7/10, d=0.003, g=0.000
>19, 8/10, d=0.002, g=0.000
>19, 9/10, d=0.002, g=0.000
>19, 10/10, d=0.002, g=0.000
>20, 1/10, d=0.001, g=0.000
>20, 2/10, d=0.002, g=0.000
>20, 3/10, d=0.002, g=0.000
>20, 4/10, d=0.002, g=0.000
>20, 5/10, d=0.002, g=0.000
>20, 6/10, d=0.001, g=0.000
>20, 7/10, d=0.001, g=0.000
>20, 8/10, d=0.001, g=0.000
>20, 9/10, d=0.001, g=0.000
>20, 10/10, d=0.001, g=0.000
>Accuracy real: 100%, fake: 100%
>21, 1/10, d=0.001, g=0.000
>21, 2/10, d=0.001, g=0.000
>21, 3/10, d=0.001, g=0.000
>21, 4/10, d=0.001, g=0.000
>21, 5/10, d=0.001, g=0.000
>21, 6/10, d=0.002, g=0.000
>21, 7/10, d=0.003, g=0.000
>21, 8/10, d=0.001, g=0.000
>21, 9/10, d=0.001, g=0.000
>21, 10/10, d=0.001, g=0.000
>22, 1/10, d=0.001, g=0.000
>22, 2/10, d=0.001, g=0.000
>22, 3/10, d=0.001, g=0.000
>22, 4/10, d=0.001, g=0.000
>22, 5/10, d=0.001, g=0.000
>22, 6/10, d=0.001, g=0.000
>22, 7/10, d=0.001, g=0.000
>22, 8/10, d=0.001, g=0.000
>22, 9/10, d=0.001, g=0.000
>22, 10/10, d=0.001, g=0.000
>23, 1/10, d=0.001, g=0.000
>23, 2/10, d=0.001, g=0.000
>23, 3/10, d=0.001, g=0.000
>23, 4/10, d=0.001, g=0.000
>23, 5/10, d=0.001, g=0.000
>23, 6/10, d=0.001, g=0.000
>23, 7/10, d=0.001, g=0.000
>23, 8/10, d=0.001, g=0.000
>23, 9/10, d=0.001, g=0.000
>23, 10/10, d=0.001, g=0.000
>24, 1/10, d=0.001, g=0.000
>24, 2/10, d=0.001, g=0.000
>24, 3/10, d=0.001, g=0.000
>24, 4/10, d=0.000, g=0.000
>24, 5/10, d=0.001, g=0.000
>24, 6/10, d=0.001, g=0.000
>24, 7/10, d=0.001, g=0.000
>24, 8/10, d=0.006, g=0.000
>24, 9/10, d=0.001, g=0.000
>24, 10/10, d=0.002, g=0.000
>25, 1/10, d=0.001, g=0.000
>25, 2/10, d=0.001, g=0.000
>25, 3/10, d=0.001, g=0.000
>25, 4/10, d=0.001, g=0.000
>25, 5/10, d=0.001, g=0.000
>25, 6/10, d=0.001, g=0.000
>25, 7/10, d=0.001, g=0.000
>25, 8/10, d=0.001, g=0.000
>25, 9/10, d=0.000, g=0.000
>25, 10/10, d=0.000, g=0.000
>26, 1/10, d=0.001, g=0.000
>26, 2/10, d=0.001, g=0.000
>26, 3/10, d=0.001, g=0.000
>26, 4/10, d=0.001, g=0.000
>26, 5/10, d=0.001, g=0.000
>26, 6/10, d=0.001, g=0.000
>26, 7/10, d=0.001, g=0.000
>26, 8/10, d=0.002, g=0.000
>26, 9/10, d=0.001, g=0.000
>26, 10/10, d=0.001, g=0.000
>27, 1/10, d=0.001, g=0.000
>27, 2/10, d=0.011, g=0.000
>27, 3/10, d=0.005, g=0.000
>27, 4/10, d=0.001, g=0.000
>27, 5/10, d=0.002, g=0.000
>27, 6/10, d=0.010, g=0.000
>27, 7/10, d=0.002, g=0.000
>27, 8/10, d=0.002, g=0.000
>27, 9/10, d=0.004, g=0.000
>27, 10/10, d=0.001, g=0.000
>28, 1/10, d=0.001, g=0.000
>28, 2/10, d=0.001, g=0.000
>28, 3/10, d=0.001, g=0.000
>28, 4/10, d=0.001, g=0.000
>28, 5/10, d=0.001, g=0.000
>28, 6/10, d=0.001, g=0.000
>28, 7/10, d=0.001, g=0.000
>28, 8/10, d=0.000, g=0.000
>28, 9/10, d=0.001, g=0.000
>28, 10/10, d=0.001, g=0.000
>29, 1/10, d=0.000, g=0.000
